Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-207.222
0.005	1	0	1	-203.995
0.01	1	0	1	-203.995
0.015	1	0	1	-203.995
0.02	1	0	1	-203.995
0.024	1	0	1	-203.995
0.025	1	0	1	-203.995
0.03	1	0	1	-203.995
0.035	1	0	1	-203.995
0.04	1	0	1	-203.995
0.045	1	0	1	-203.995
0.05	1	0	1	-203.995
0.055	1	0	1	-203.995
0.06	1	0	1	-203.995
0.065	1	0	1	-203.995
0.07	1	0	1	-203.995
0.075	1	0	1	-203.995
0.08	1	0	1	-203.995
0.085	1	0	1	-203.995
0.09	1	0	1	-203.995
0.095	1	0	1	-203.995
0.1	1	0	1	-204.756
0.104	1	0	1	-204.756
0.105	1	0	1	-204.756
0.11	1	0	1	-204.756
0.115	1	0	1	-204.756
0.12	1	0	1	-204.756
0.125	1	0	1	-204.756
0.13	1	0	1	-204.756
0.135	1	0	1	-204.756
0.14	1	0	1	-204.756
0.145	1	0	1	-204.756
0.15	1	0	1	-204.756
0.155	1	0	1	-204.756
0.16	1	0	1	-204.756
0.165	1	0	1	-204.756
0.17	1	0	1	-204.756
0.175	1	0	1	-204.756
0.18	1	0	1	-204.756
0.184	1	0	1	-204.756
0.185	1	0	1	-204.756
0.19	1	0	1	-204.756
0.195	1	0	1	-204.756
0.2	1	0	1	-205.582
0.203	1	0	1	-205.582
0.203071	1	0	1	-205.582
0.205	1	0	1	-205.582
0.21	1	0	1	-205.582
0.213	1	0	1	-205.582
0.213071	1	0	1	-205.582
0.215	1	0	1	-205.582
0.22	1	0	1	-205.582
0.223	1	0	1	-205.582
0.223071	1	0	1	-205.582
0.225	1	0	1	-205.582
0.23	1	0	1	-205.582
0.233	1	0	1	-205.582
0.233071	1	0	1	-205.582
0.235	1	0	1	-205.582
0.24	1	0	1	-205.582
0.243	1	0	1	-205.582
0.243071	1	0	1	-205.582
0.245	1	0	1	-205.582
0.25	1	0	1	-205.582
0.253	1	0	1	-205.582
0.253071	1	0	1	-205.582
0.255	1	0	1	-205.582
0.26	1	0	1	-205.582
0.263	1	0	1	-205.582
0.263071	1	0	1	-205.582
0.264	1	0	1	-205.582
0.265	1	0	1	-205.582
0.27	1	0	1	-205.582
0.273	1	0	1	-205.582
0.273071	1	0	1	-205.582
0.275	1	0	1	-205.582
0.28	1	0	1	-205.582
0.283	1	0	1	-205.582
0.283071	1	0	1	-205.582
0.285	1	0	1	-205.582
0.29	1	0	1	-205.582
0.293	1	0	1	-205.582
0.293071	1	0	1	-205.582
0.295	1	0	1	-205.582
0.3	1	0	1	-203.899
0.305	1	0	1	-203.899
0.31	1	0	1	-203.899
0.315	1	0	1	-203.899
0.32	1	0	1	-203.899
0.325	1	0	1	-203.899
0.33	1	0	1	-203.899
0.335	1	0	1	-203.899
0.34	1	0	1	-203.899
0.344	1	0	1	-203.899
0.345	1	0	1	-203.899
0.35	1	0	1	-203.899
0.355	1	0	1	-203.899
0.36	1	0	1	-203.899
0.365	1	0	1	-203.899
